/real_pose/header/stamp/sec,/real_pose/header/stamp/nanosec,/real_pose/pose/position/x,/real_pose/pose/position/y,/real_pose/pose/position/z,/real_pose/pose/orientation/x,/real_pose/pose/orientation/y,/real_pose/pose/orientation/z,/real_pose/pose/orientation/w,/real_pose/header/frame_id,
1.73244e+09,3.56851e+08,0.00469054,-0.395065,-2.67584e-06,3.67262e-05,-0.00128565,0.0247115,0.999694,world,
1.73244e+09,4.56767e+08,0.00469306,-0.394942,1.76452e-06,2.97614e-05,-0.00126086,0.0247451,0.999693,world,
1.73244e+09,5.57241e+08,0.00469388,-0.394879,1.93768e-06,2.77449e-05,-0.00117022,0.024754,0.999693,world,
1.73244e+09,6.56498e+08,0.00469708,-0.394689,2.11541e-06,2.85767e-05,-0.00120248,0.0247979,0.999692,world,
1.73244e+09,7.56238e+08,0.00469644,-0.394622,1.89173e-06,2.98544e-05,-0.0012538,0.0247966,0.999692,world,
1.73244e+09,8.56743e+08,0.00470037,-0.394499,2.04004e-06,2.90781e-05,-0.00122061,0.0248403,0.999691,world,
1.73244e+09,9.56304e+08,0.00470198,-0.394348,2.02081e-06,2.77596e-05,-0.00116529,0.0248634,0.99969,world,
1.73244e+09,5.70213e+07,0.00470129,-0.394295,-2.99475e-06,2.99334e-05,-0.00124954,0.0248623,0.99969,world,
1.73244e+09,1.5633e+08,0.00470465,-0.394091,1.94126e-06,2.92335e-05,-0.00122313,0.0249061,0.999689,world,
1.73244e+09,2.56612e+08,0.00470599,-0.394057,1.687e-06,2.98176e-05,-0.00125543,0.0249211,0.999689,world,
1.73244e+09,3.5718e+08,0.00470926,-0.393896,1.39042e-06,3.02728e-05,-0.00128412,0.0249516,0.999688,world,
1.73244e+09,4.56432e+08,0.00471437,-0.393778,-3.43442e-06,2.11326e-05,-0.00123824,0.0249952,0.999687,world,
1.73244e+09,5.57298e+08,0.00471558,-0.393715,2.08478e-06,2.81556e-05,-0.00116916,0.0250122,0.999686,world,
1.73244e+09,6.57415e+08,0.00471892,-0.393515,-2.16218e-06,2.79422e-05,-0.00121576,0.0250542,0.999685,world,
1.73244e+09,7.56297e+08,0.00471861,-0.39346,-3.19851e-06,3.1236e-05,-0.00123715,0.0250542,0.999685,world,
1.73244e+09,8.56871e+08,0.0047225,-0.393302,-2.89406e-06,3.07908e-05,-0.00119672,0.0250989,0.999684,world,
1.73244e+09,9.57088e+08,0.00472425,-0.393177,2.09794e-06,2.86753e-05,-0.00119051,0.0251213,0.999684,world,
1.73244e+09,5.8043e+07,0.00472343,-0.393106,-3.05882e-06,2.80952e-05,-0.00127553,0.0251198,0.999684,world,
1.73244e+09,1.56434e+08,0.00472908,-0.392915,-2.82503e-06,2.90063e-05,-0.00122967,0.0251805,0.999682,world,
1.73244e+09,2.56408e+08,0.0047292,-0.392913,2.03692e-06,2.94356e-05,-0.00122094,0.0251814,0.999682,world,
