/real_pose/header/stamp/sec,/real_pose/header/stamp/nanosec,/real_pose/pose/position/x,/real_pose/pose/position/y,/real_pose/pose/position/z,/real_pose/pose/orientation/x,/real_pose/pose/orientation/y,/real_pose/pose/orientation/z,/real_pose/pose/orientation/w,/real_pose/header/frame_id,
1.73245e+09,9.13215e+08,0.502924,-0.450073,2.04174e-06,1.38357e-05,-0.00120622,0.0124772,0.999921,world,
1.73245e+09,1.45216e+07,0.502933,-0.449897,2.04792e-06,1.36323e-05,-0.00118689,0.012522,0.999921,world,
1.73245e+09,1.133e+08,0.502938,-0.449762,1.9292e-06,1.40219e-05,-0.00121579,0.0125437,0.999921,world,
1.73245e+09,2.14309e+08,0.502942,-0.44969,2.0397e-06,1.351e-05,-0.00117159,0.0125646,0.99992,world,
1.73245e+09,3.13771e+08,0.50295,-0.449498,-2.87908e-06,1.22841e-05,-0.0011949,0.0126077,0.99992,world,
1.73245e+09,4.1347e+08,0.502951,-0.449445,1.90871e-06,1.40559e-05,-0.00121332,0.0126064,0.99992,world,
1.73245e+09,5.14062e+08,0.502959,-0.449306,2.08596e-06,1.42196e-05,-0.00121984,0.0126509,0.999919,world,
1.73245e+09,6.13486e+08,0.502964,-0.449137,-3.07188e-06,1.13904e-05,-0.0012948,0.0126684,0.999919,world,
1.73245e+09,7.13654e+08,0.502967,-0.449113,-2.82664e-06,1.76892e-05,-0.00120287,0.0126916,0.999919,world,
1.73245e+09,8.13863e+08,0.502974,-0.448904,1.75945e-06,1.45297e-05,-0.00126106,0.0127247,0.999918,world,
1.73245e+09,9.13396e+08,0.502976,-0.448829,1.90639e-06,1.3891e-05,-0.00118801,0.0127331,0.999918,world,
1.73245e+09,1.42551e+07,0.502981,-0.448704,-2.98394e-06,1.38069e-05,-0.00121142,0.0127542,0.999918,world,
1.73245e+09,1.13278e+08,0.502986,-0.448554,1.58617e-06,1.4812e-05,-0.00128498,0.0127798,0.999918,world,
1.73245e+09,2.13576e+08,0.502989,-0.4485,1.99468e-06,1.34075e-05,-0.00114312,0.0127967,0.999917,world,
1.73245e+09,3.1407e+08,0.502997,-0.448311,2.07888e-06,1.41533e-05,-0.00119693,0.0128384,0.999917,world,
1.73245e+09,4.13361e+08,0.502998,-0.448267,1.90682e-06,1.46574e-05,-0.00123822,0.0128374,0.999917,world,
1.73245e+09,5.13546e+08,0.503005,-0.448124,-3.47995e-06,1.2878e-05,-0.00121662,0.0128797,0.999916,world,
1.73245e+09,6.13371e+08,0.50301,-0.447996,-2.64752e-06,1.65471e-05,-0.00123177,0.0128991,0.999916,world,
1.73245e+09,7.13567e+08,0.503013,-0.447932,2.02823e-06,1.45073e-05,-0.001218,0.0129215,0.999916,world,
1.73245e+09,8.13289e+08,0.503021,-0.447743,2.09431e-06,1.4187e-05,-0.00118899,0.0129651,0.999915,world,
1.73245e+09,9.13822e+08,0.503022,-0.447687,1.90254e-06,1.46202e-05,-0.00122326,0.0129637,0.999915,world,
1.73245e+09,1.41251e+07,0.503027,-0.447549,-2.96668e-06,1.5145e-05,-0.00127652,0.0129846,0.999915,world,
1.73245e+09,1.13493e+08,0.503034,-0.447389,1.91793e-06,1.3982e-05,-0.00116853,0.013025,0.999914,world,
1.73245e+09,2.14374e+08,0.503035,-0.447357,1.88008e-06,1.4963e-05,-0.00124395,0.0130245,0.999914,world,
1.73245e+09,3.13549e+08,0.503043,-0.447169,1.48007e-06,1.51944e-05,-0.00128467,0.0130683,0.999914,world,
1.73245e+09,4.14082e+08,0.503046,-0.447089,1.9062e-06,1.48342e-05,-0.00122805,0.0130872,0.999914,world,
1.73245e+09,5.14591e+08,0.50305,-0.446983,-2.99557e-06,1.44276e-05,-0.00118816,0.0131086,0.999913,world,
1.73245e+09,6.13648e+08,0.503059,-0.446791,1.97806e-06,1.4531e-05,-0.0011979,0.0131521,0.999913,world,
1.73245e+09,7.14149e+08,0.503059,-0.446782,-2.7714e-06,1.52312e-05,-0.00121054,0.0131518,0.999913,world,
1.73245e+09,8.13816e+08,0.503066,-0.446595,1.91702e-06,1.41518e-05,-0.00116676,0.0131908,0.999912,world,
1.73245e+09,9.13367e+08,0.503071,-0.446482,-2.59186e-06,1.67348e-05,-0.00124494,0.0132109,0.999912,world,
1.73245e+09,1.34471e+07,0.503074,-0.4464,1.93647e-06,1.50132e-05,-0.00122812,0.013231,0.999912,world,
1.73245e+09,1.1341e+08,0.503083,-0.446208,-3.05925e-06,1.21026e-05,-0.00121707,0.0132737,0.999911,world,
1.73245e+09,2.13201e+08,0.503083,-0.446183,-3.07822e-06,1.31025e-05,-0.00129029,0.0132733,0.999911,world,
1.73245e+09,3.13411e+08,0.503092,-0.446007,-2.81936e-06,1.89974e-05,-0.0012085,0.0133189,0.999911,world,
1.73245e+09,4.1338e+08,0.503096,-0.445888,1.8974e-06,1.50981e-05,-0.00122416,0.0133411,0.99991,world,
1.73245e+09,5.14466e+08,0.5031,-0.445816,2.01175e-06,1.41804e-05,-0.00115296,0.0133605,0.99991,world,
1.73245e+09,6.13751e+08,0.503106,-0.445614,-3.0099e-06,1.67809e-05,-0.00124911,0.0133963,0.999909,world,
1.73245e+09,7.13256e+08,0.503108,-0.445575,-2.8488e-06,1.30266e-05,-0.00115975,0.0134027,0.99991,world,
1.73245e+09,8.14637e+08,0.503317,-0.44542,-3.42769e-06,1.29525e-05,-0.00124891,0.0134752,0.999908,world,
1.73245e+09,9.1396e+08,0.50584,-0.445206,-2.58648e-06,1.96777e-05,-0.00123681,0.0136775,0.999906,world,
1.73245e+09,1.35345e+07,0.506788,-0.445147,-2.50908e-06,2.17678e-05,-0.00127584,0.0137083,0.999905,world,
