/real_pose/header/stamp/sec,/real_pose/header/stamp/nanosec,/real_pose/pose/position/x,/real_pose/pose/position/y,/real_pose/pose/position/z,/real_pose/pose/orientation/x,/real_pose/pose/orientation/y,/real_pose/pose/orientation/z,/real_pose/pose/orientation/w,/real_pose/header/frame_id,
1.73244e+09,4.33934e+08,1.68704,1.564,-2.82452e-06,0.000517745,-0.00116578,0.40349,0.914983,world,
1.73244e+09,5.3389e+08,1.68772,1.56479,-2.58837e-06,0.000490983,-0.0011207,0.402568,0.915389,world,
1.73244e+09,6.34818e+08,1.69204,1.56974,1.77955e-06,0.000486334,-0.00112882,0.396679,0.917956,world,
1.73244e+09,7.3414e+08,1.6949,1.57293,-3.23393e-06,0.000499758,-0.00117063,0.39284,0.919606,world,
1.73244e+09,8.34247e+08,1.69658,1.57479,-2.98875e-06,0.000482907,-0.00113783,0.390588,0.920565,world,
1.73244e+09,9.33963e+08,1.70124,1.57985,-2.89317e-06,0.000490463,-0.00117585,0.384391,0.92317,world,
1.73244e+09,3.35441e+07,1.7031,1.58183,-3.26849e-06,0.000486911,-0.00118816,0.38194,0.924186,world,
1.73244e+09,1.34353e+08,1.70612,1.58499,-3.32417e-06,0.000455008,-0.00111573,0.377997,0.925806,world,
1.73244e+09,2.34437e+08,1.71093,1.58993,-2.95202e-06,0.00045831,-0.00115011,0.371766,0.928326,world,
1.73244e+09,3.34607e+08,1.71144,1.59045,1.50298e-06,0.000475194,-0.00119373,0.371102,0.928591,world,
1.73244e+09,4.34286e+08,1.71587,1.59487,1.5716e-06,0.000456195,-0.00116645,0.365435,0.930836,world,
1.73244e+09,5.33533e+08,1.71953,1.59844,-3.15004e-06,0.000450221,-0.00116333,0.360785,0.932648,world,
1.73244e+09,6.34957e+08,1.72073,1.59959,-3.36826e-06,0.000433631,-0.00113135,0.359278,0.93323,world,
1.73244e+09,7.34696e+08,1.72573,1.60433,-2.65717e-06,0.000435731,-0.00115289,0.353001,0.935622,world,
1.73244e+09,8.33574e+08,1.72841,1.60682,1.82046e-06,0.000438818,-0.0011795,0.349663,0.936875,world,
1.73244e+09,9.34217e+08,1.73072,1.60893,1.81957e-06,0.00043292,-0.00117462,0.346804,0.937937,world,
1.73244e+09,3.38336e+07,1.73576,1.61345,-3.3155e-06,0.00041395,-0.00115326,0.340612,0.940203,world,
1.73244e+09,1.33819e+08,1.73749,1.61498,-2.94714e-06,0.000433548,-0.001203,0.338493,0.940968,world,
1.73244e+09,2.34809e+08,1.7411,1.61812,-2.81727e-06,0.000406257,-0.00114381,0.334101,0.942537,world,
1.73244e+09,3.33941e+08,1.74571,1.62204,-2.98344e-06,0.000391211,-0.00113125,0.328545,0.944488,world,
1.73244e+09,4.35079e+08,1.74659,1.62278,1.83046e-06,0.000392439,-0.00113628,0.32748,0.944857,world,
1.73244e+09,5.34806e+08,1.75182,1.6271,-2.88051e-06,0.000393326,-0.00115862,0.321231,0.947,world,
1.73244e+09,6.34512e+08,1.75507,1.62972,-3.09327e-06,0.000403515,-0.00120749,0.31738,0.948298,world,
1.73244e+09,7.34641e+08,1.75728,1.63148,1.81655e-06,0.000397985,-0.00120426,0.314773,0.949166,world,
1.73244e+09,8.33925e+08,1.7627,1.63572,1.76516e-06,0.0003726,-0.00115389,0.308419,0.95125,world,
1.73244e+09,9.34419e+08,1.76436,1.63699,1.81236e-06,0.000379601,-0.00118331,0.30647,0.95188,world,
1.73244e+09,3.49688e+07,1.76835,1.64001,1.86504e-06,0.000370565,-0.00117493,0.30184,0.953358,world,
1.73244e+09,1.33781e+08,1.77212,1.6428,-2.96003e-06,0.000353172,-0.00114809,0.29749,0.954724,world,
1.73244e+09,2.34799e+08,1.77381,1.64404,-3.08529e-06,0.000359617,-0.00117746,0.295533,0.955332,world,
1.73244e+09,3.3413e+08,1.77941,1.64806,-3.58213e-06,0.000375727,-0.00123683,0.289128,0.95729,world,
1.73244e+09,4.3428e+08,1.78214,1.64998,-3.02608e-06,0.000358358,-0.0011948,0.286014,0.958224,world,
1.73244e+09,5.34648e+08,1.78497,1.65194,1.82081e-06,0.000349582,-0.00119026,0.282809,0.959175,world,
1.73244e+09,6.34346e+08,1.79059,1.65575,-3.93146e-06,0.000343687,-0.00120971,0.276491,0.961016,world,
1.73244e+09,7.34209e+08,1.79224,1.65685,1.86458e-06,0.000342933,-0.00120541,0.274634,0.961548,world,
1.73244e+09,8.34448e+08,1.79633,1.65953,-3.15279e-06,0.000322437,-0.00116105,0.270059,0.962843,world,
1.73244e+09,9.3414e+08,1.80178,1.66302,-3.13192e-06,0.00031647,-0.00116791,0.263996,0.964523,world,
1.73244e+09,3.54061e+07,1.80258,1.66353,1.82249e-06,0.000331734,-0.00122138,0.263105,0.964766,world,
