/real_pose/header/stamp/sec,/real_pose/header/stamp/nanosec,/real_pose/pose/position/x,/real_pose/pose/position/y,/real_pose/pose/position/z,/real_pose/pose/orientation/x,/real_pose/pose/orientation/y,/real_pose/pose/orientation/z,/real_pose/pose/orientation/w,/real_pose/header/frame_id,
1.73243e+09,7.4414e+08,0.0103253,0.886286,-2.54342e-06,7.80434e-05,-0.0012751,0.0454755,0.998965,world,
1.73243e+09,8.43636e+08,0.01033,0.886475,-2.66211e-06,3.11065e-05,-0.00127734,0.0454876,0.998964,world,
1.73243e+09,9.44666e+08,0.0103347,0.886672,-2.54341e-06,7.80742e-05,-0.0012751,0.0454997,0.998964,world,
1.73243e+09,4.40202e+07,0.0103392,0.886855,-2.6522e-06,3.12355e-05,-0.00127806,0.045511,0.998963,world,
1.73243e+09,1.43948e+08,0.0103437,0.887047,-2.56812e-06,7.81038e-05,-0.00127648,0.0455224,0.998963,world,
1.73243e+09,2.44528e+08,0.0103485,0.887236,-2.62709e-06,3.13311e-05,-0.00127829,0.0455346,0.998962,world,
1.73243e+09,3.44242e+08,0.0103529,0.887421,-2.54339e-06,7.81338e-05,-0.0012751,0.0455463,0.998961,world,
1.73243e+09,4.44626e+08,0.0103574,0.887608,-2.57789e-06,7.81716e-05,-0.00127563,0.0455578,0.998961,world,
1.73243e+09,5.43868e+08,0.0103621,0.887802,-2.57789e-06,7.8187e-05,-0.00127563,0.0455698,0.99896,world,
1.73243e+09,6.43466e+08,0.0103668,0.887991,-2.65216e-06,3.1326e-05,-0.00127806,0.0455818,0.99896,world,
1.73243e+09,7.43867e+08,0.0103712,0.888172,-2.63647e-06,3.13058e-05,-0.00127748,0.0455932,0.998959,world,
1.73243e+09,8.4359e+08,0.0103755,0.888357,-2.57787e-06,7.82311e-05,-0.00127563,0.0456044,0.998959,world,
1.73243e+09,9.43685e+08,0.01038,0.888544,-2.56807e-06,7.8223e-05,-0.00127647,0.0456156,0.998958,world,
1.73243e+09,4.3702e+07,0.0103849,0.888744,-2.57786e-06,7.82618e-05,-0.00127563,0.0456284,0.998958,world,
1.73243e+09,1.43764e+08,0.0103899,0.888945,-2.63645e-06,3.13673e-05,-0.00127748,0.0456413,0.998957,world,
1.73243e+09,2.44201e+08,0.0103949,0.88915,-2.65212e-06,3.14183e-05,-0.00127806,0.0456539,0.998957,world,
1.73243e+09,3.43979e+08,0.0103997,0.889349,-2.66202e-06,3.13354e-05,-0.00127733,0.0456666,0.998956,world,
